EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
3,1,2,3.1,-2.129028,6.44,924.68,-178.94,-286.71,700.58
3,1,1,3.1,0.9145143,16.16,1786.09,197.04,256.09,1683.96
3,2,2,5.05,-2.12871285,10.48,924.68,-178.94,-286.71,700.58
3,2,1,5.05,0.9148514759999999,26.32,1786.09,197.04,256.09,1683.96
3,3,2,8.85,-2.128814496,18.36,924.68,-178.94,-286.71,700.58
3,3,1,8.85,0.914689668,46.12,1786.09,197.04,256.09,1683.96
3,4,2,12.25,-2.128570045,25.400000000000002,924.68,-178.94,-286.71,700.58
3,4,1,12.25,0.9146932830000001,63.84,1786.09,197.04,256.09,1683.96
3,5,2,29.9,-2.128461216,62.08,924.68,-178.94,-286.71,700.58
3,5,1,29.9,0.914699328,155.92000000000002,1786.09,197.04,256.09,1683.96
3,6,2,37.1,-2.1283449008,77.04,924.68,-178.94,-286.71,700.58
3,6,1,37.1,0.914609116,193.48000000000002,1786.09,197.04,256.09,1683.96
3,7,2,44.3,-2.1283376113999997,92.0,924.68,-178.94,-286.71,700.58
3,7,1,44.3,0.9144691009999999,231.12,1786.09,197.04,256.09,1683.96
3,8,2,51.4,-2.1282425346,106.8,924.68,-178.94,-286.71,700.58
3,8,1,51.4,0.9144285696,268.16,1786.09,197.04,256.09,1683.96
4,1,1,3.1,0.7822565,-1.32,615.9,235.12,233.8,-139.26
4,1,2,3.1,-2.4274145,-0.68,620.27,-270.96,-234.91,-78.29
4,2,1,5.05,0.78217821,-2.12,615.9,235.12,233.8,-139.26
4,2,2,5.05,-2.427722748,-1.12,620.27,-270.96,-234.91,-78.29
4,3,1,8.85,0.7824862199999999,-3.72,615.9,235.12,233.8,-139.26
4,3,2,8.85,-2.4271197119999997,-1.92,620.27,-270.96,-234.91,-78.29
4,4,1,12.25,0.782448471,-5.16,615.9,235.12,233.8,-139.26
4,4,2,12.25,-2.427345361,-2.68,620.27,-270.96,-234.91,-78.29
4,5,1,29.9,0.78233856,-12.56,615.9,235.12,233.8,-139.26
4,5,2,29.9,-2.427068928,-6.5200000000000005,620.27,-270.96,-234.91,-78.29
4,6,1,37.1,0.7822748912,-15.6,615.9,235.12,233.8,-139.26
4,6,2,37.1,-2.4271049928000004,-8.120000000000001,620.27,-270.96,-234.91,-78.29
4,7,1,44.3,0.7822298847999999,-18.64,615.9,235.12,233.8,-139.26
4,7,2,44.3,-2.4270462762,-9.68,620.27,-270.96,-234.91,-78.29
4,8,1,51.4,0.7821989174999999,-21.64,615.9,235.12,233.8,-139.26
4,8,2,51.4,-2.4269664509999997,-11.24,620.27,-270.96,-234.91,-78.29
10,1,1,3.1,-0.2161286,-1.6400000000000001,739.63,471.42,-103.53,-253.17
10,1,2,3.1,2.9580586,-1.48,706.72,-442.25,82.33,-217.01
10,2,1,5.05,-0.21584158199999998,-2.64,739.63,471.42,-103.53,-253.17
10,2,2,5.05,2.9574257129999997,-2.44,706.72,-442.25,82.33,-217.01
10,3,1,8.85,-0.216384276,-4.64,739.63,471.42,-103.53,-253.17
10,3,2,8.85,2.95762842,-4.28,706.72,-442.25,82.33,-217.01
10,4,1,12.25,-0.21632639,-6.44,739.63,471.42,-103.53,-253.17
10,4,2,12.25,2.9575490980000003,-5.92,706.72,-442.25,82.33,-217.01
10,5,1,29.9,-0.216393936,-15.68,739.63,471.42,-103.53,-253.17
10,5,2,29.9,2.957762832,-14.44,706.72,-442.25,82.33,-217.01
10,6,1,37.1,-0.2164636004,-19.48,739.63,471.42,-103.53,-253.17
10,6,2,37.1,2.9578165550000004,-17.92,706.72,-442.25,82.33,-217.01
10,7,1,44.3,-0.216433308,-23.240000000000002,739.63,471.42,-103.53,-253.17
10,7,2,44.3,2.9578451265999997,-21.400000000000002,706.72,-442.25,82.33,-217.01
10,8,1,51.4,-0.2165020767,-27.0,739.63,471.42,-103.53,-253.17
10,8,2,51.4,2.9578694964,-24.84,706.72,-442.25,82.33,-217.01
14,1,2,3.1,-1.258062,-10.32,1277.45,104.12,-321.98,-1125.78
14,1,1,3.1,1.9580606,-1.84,775.24,-192.03,471.47,-303.05
14,2,2,5.05,-1.2584158289999998,-16.8,1277.45,104.12,-321.98,-1125.78
14,2,1,5.05,1.9574257229999998,-3.0,775.24,-192.03,471.47,-303.05
14,3,2,8.85,-1.258192644,-29.48,1277.45,104.12,-321.98,-1125.78
14,3,1,8.85,1.9576279799999998,-5.28,775.24,-192.03,471.47,-303.05
14,4,2,12.25,-1.257958366,-40.76,1277.45,104.12,-321.98,-1125.78
14,4,1,12.25,1.9575497480000001,-7.28,775.24,-192.03,471.47,-303.05
14,5,2,29.9,-1.257768432,-99.52,1277.45,104.12,-321.98,-1125.78
14,5,1,29.9,1.957438368,-17.8,775.24,-192.03,471.47,-303.05
14,6,2,37.1,-1.2577250008,-123.52,1277.45,104.12,-321.98,-1125.78
14,6,1,37.1,1.9573368236000002,-22.12,775.24,-192.03,471.47,-303.05
14,7,2,44.3,-1.2576924178,-147.48,1277.45,104.12,-321.98,-1125.78
14,7,1,44.3,1.9573399481999998,-26.400000000000002,775.24,-192.03,471.47,-303.05
14,8,2,51.4,-1.2576038748,-171.16,1277.45,104.12,-321.98,-1125.78
14,8,1,51.4,1.957316361,-30.64,775.24,-192.03,471.47,-303.05
15,1,2,3.1,-2.0532217,-4.96,706.24,-122.59,-234.28,-422.91
15,1,1,3.1,1.8774156,-2.2800000000000002,558.4,-60.39,191.01,-147.24
15,2,2,5.05,-2.052475227,-8.08,706.24,-122.59,-234.28,-422.91
15,2,1,5.05,1.8772277039999998,-3.72,558.4,-60.39,191.01,-147.24
15,3,2,8.85,-2.053108248,-14.16,706.24,-122.59,-234.28,-422.91
15,3,1,8.85,1.877401956,-6.5200000000000005,558.4,-60.39,191.01,-147.24
15,4,2,12.25,-2.05305989,-19.6,706.24,-122.59,-234.28,-422.91
15,4,1,12.25,1.8775498000000002,-9.040000000000001,558.4,-60.39,191.01,-147.24
15,5,2,29.9,-2.05307016,-47.88,706.24,-122.59,-234.28,-422.91
15,5,1,29.9,1.877839968,-22.080000000000002,558.4,-60.39,191.01,-147.24
15,6,2,37.1,-2.0531966568,-59.4,706.24,-122.59,-234.28,-422.91
15,6,1,37.1,1.8780645906000002,-27.44,558.4,-60.39,191.01,-147.24
15,7,2,44.3,-2.0531999487999997,-70.96000000000001,706.24,-122.59,-234.28,-422.91
15,7,1,44.3,1.8782880661999999,-32.84,558.4,-60.39,191.01,-147.24
15,8,2,51.4,-2.0532969639,-82.32000000000001,706.24,-122.59,-234.28,-422.91
15,8,1,51.4,1.8785342121,-38.12,558.4,-60.39,191.01,-147.24
19,1,2,3.1,-1.6967708,12.24,854.74,-21.52,-168.94,671.99
19,1,1,3.1,1.8354802000000001,27.080000000000002,1752.41,-50.04,184.44,1668.66
19,2,2,5.05,-1.6970296859999998,19.96,854.74,-21.52,-168.94,671.99
19,2,1,5.05,1.8356435459999998,44.12,1752.41,-50.04,184.44,1668.66
19,3,2,8.85,-1.69774086,34.96,854.74,-21.52,-168.94,671.99
19,3,1,8.85,1.8355940279999998,77.32000000000001,1752.41,-50.04,184.44,1668.66
19,4,2,12.25,-1.6975499170000001,48.44,854.74,-21.52,-168.94,671.99
19,4,1,12.25,1.835509011,107.0,1752.41,-50.04,184.44,1668.66
